# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.3.2
#@/tick	42928
#@/user_id	ab7a14e5-ae21-41f1-b36e-b856550d5341
a 	啊	c=63 d=0.402358 t=42928
bang wo men 	幫我們	c=1 d=3.4753e-08 t=42928
bang zhu 	幫助	c=3 d=1.33735e-29 t=42928
bao 	包	c=5 d=2.579e-21 t=42928
bao 	報	c=7 d=1.03168e-06 t=42928
bao 	寶	c=1 d=1.52902e-25 t=42928
bao bei 	報備	c=1 d=1.42803e-74 t=42928
bao bu wan 	報不玩	c=1 d=3.10515e-36 t=42928
bao chi 	保持	c=4 d=0.00332928 t=42928
bao cun 	保存	c=2 d=6.03814e-07 t=42928
bao cuo 	報錯	c=14 d=0.0181334 t=42928
bao dan 	保單	c=0 d=4.29676e-64 t=42928
bao dan hao 	保單號	c=1 d=4.3183e-63 t=42928
bao die 	暴跌	c=1 d=1 t=41503
bao fa 	爆發	c=1 d=1.79299e-75 t=42928
bao fu qiao 	保福橋	c=1 d=1 t=41466
bao gao 	報告	c=3 d=1.86774e-25 t=42928
bao guang 	暴光	c=0 d=4.96215e-52 t=42928
bao guang liang 	暴光量	c=1 d=4.98703e-51 t=42928
bao guo 	包裹	c=2 d=1.24986e-65 t=42928
bao han 	包含	c=10 d=0.0155297 t=42928
bao jia 	報價	c=1 d=1 t=41485
bao jing 	報警	c=16 d=0.00494193 t=42928
bao kuo 	包括	c=12 d=0.0389787 t=42928
bao li 	暴力	c=1 d=5.1578e-06 t=42928
bao liu 	保留	c=3 d=0.0337087 t=42928
bao qian 	抱歉	c=1 d=2.03358e-27 t=42928
bao shang qu 	報上去	c=2 d=6.2626e-54 t=42928
bao xian 	保險	c=1 d=1.51984e-13 t=42928
bao xiao 	報銷	c=3 d=1.49228e-33 t=42928
bao yang 	保養	c=1 d=5.86948e-56 t=42928
bao zhang 	保障	c=1 d=1.22449e-59 t=42928
bao zhe 	抱着	c=1 d=6.28115e-30 t=42928
bao zheng 	保證	c=11 d=2.79574e-07 t=42928
bao zhuang 	包裝	c=3 d=5.02003e-11 t=42928
bao zi 	包子	c=2 d=6.77219e-25 t=42928
bei 	倍	c=1 d=2.12609e-21 t=42928
bei 	唄	c=7 d=0.00331377 t=42928
bei 	背	c=1 d=2.04516e-36 t=42928
bei 	被	c=46 d=0.369142 t=42928
bei fen 	備份	c=3 d=0.0242558 t=42928
bei jing 	北京	c=14 d=4.67826e-05 t=42928
bei jing 	背景	c=3 d=1.6371e-05 t=42928
bei jing shi 	北京市	c=3 d=4.97262e-17 t=42928
bei le ge 	背了個	c=1 d=2.05542e-35 t=42928
bei men 	北門	c=1 d=1.28906e-46 t=42928
bei qi jia 	北七家	c=1 d=3.26947e-25 t=42928
bei ren 	被人	c=1 d=1.27186e-35 t=42928
bei wang 	備忘	c=3 d=1.16364e-18 t=42928
bei zhu 	備註	c=5 d=2.26367e-20 t=42928
bei zi 	杯子	c=2 d=4.56625e-49 t=42928
ben 	本	c=2 d=1.84614e-07 t=42928
ben 	笨	c=1 d=9.84514e-82 t=42928
ben di 	本地	c=12 d=0.33454 t=42928
ben gai 	本該	c=2 d=0.00557201 t=42928
ben lai 	本來	c=15 d=0.116484 t=42928
ben shen 	本身	c=6 d=1.25663e-11 t=42928
ben zhi 	本質	c=1 d=1.51149e-07 t=42928
ben zhou 	本週	c=5 d=1.77828e-37 t=42928
ben zhou si 	本週四	c=1 d=3.62021e-18 t=42928
beng kui 	崩潰	c=1 d=1.33221e-51 t=42928
bi 	比	c=22 d=0.472367 t=42928
bi chuan 	必傳	c=3 d=1.68312e-37 t=42928
bi huan 	閉環	c=1 d=1.22411e-26 t=42928
bi ji 	筆記	c=2 d=2.65659e-24 t=42928
bi ji ben 	筆記本	c=1 d=1 t=41010
bi jiao 	比較	c=35 d=0.921482 t=42928
bi jiao di 	比較低	c=1 d=9.98777e-16 t=42928
bi jiao duo 	比較多	c=2 d=7.48773e-09 t=42928
bi jiao jin 	比較緊	c=1 d=3.25749e-70 t=42928
bi jiao man 	比較慢	c=1 d=8.76816e-72 t=42928
bi jiao mang 	比較忙	c=1 d=0.606531 t=42928
bi jing 	畢竟	c=3 d=7.8959e-76 t=42928
bi li 	比例	c=3 d=4.07057e-06 t=42928
bi mian 	避免	c=11 d=0.865022 t=42928
bi ni 	比你	c=1 d=1 t=40199
bi ran 	必然	c=1 d=2.09544e-56 t=42928
bi ru 	比如	c=7 d=1.33803e-14 t=42928
bi wo 	比我	c=1 d=8.08027e-52 t=42928
bi xu 	必須	c=6 d=1.12554e-09 t=42928
bi yao 	必要	c=12 d=1.37427e-05 t=42928
bi zi 	鼻子	c=1 d=3.53011e-45 t=42928
bian 	便	c=0 d=7.0402e-79 t=42928
bian 	變	c=4 d=0.000937682 t=42928
bian 	遍	c=2 d=3.6365e-12 t=42928
bian 	邊	c=2 d=2.03572e-10 t=42928
bian chang 	變長	c=1 d=1.00252e-59 t=42928
bian cheng 	變成	c=10 d=0.0194482 t=42928
bian de 	變得	c=3 d=0.115325 t=42928
bian geng 	變更	c=3 d=0.000335463 t=42928
bian hao 	編號	c=1 d=1.44312e-80 t=42928
bian hua 	變化	c=7 d=8.74311e-09 t=42928
bian ji 	編輯	c=14 d=3.88189e-36 t=42928
bian ji guo 	便記過	c=1 d=7.07549e-78 t=42928
bian ji guo 	編輯過	c=2 d=1.52092e-77 t=42928
bian lan 	邊欄	c=1 d=1.90262e-38 t=42928
bian le 	變了	c=1 d=6.06595e-61 t=42928
bian liang 	變量	c=2 d=9.71209e-69 t=42928
bian ma 	編碼	c=0 d=5.99538e-42 t=42928
bian man 	變慢	c=1 d=1.97791e-24 t=42928
bian pian yi 	變便宜	c=1 d=1 t=41647
bian shang 	邊上	c=1 d=4.80225e-48 t=42928
bian yi 	編譯	c=9 d=8.40029e-09 t=42928
bian yuan 	邊緣	c=1 d=1.52135e-54 t=42928
bian zhai 	變窄	c=1 d=2.26734e-13 t=42928
biao 	標	c=2 d=7.66529e-20 t=42928
biao 	表	c=29 d=0.000567488 t=42928
biao da 	表達	c=1 d=6.27326e-74 t=42928
biao da shi 	表達式	c=2 d=6.46913e-24 t=42928
biao ge 	表格	c=2 d=1.69098e-33 t=42928
biao ji 	標記	c=5 d=0.180866 t=42928
biao jie gou 	表結構	c=4 d=1.5483e-40 t=42928
biao ke 	錶殼	c=0 d=1.15699e-40 t=42928
biao ming 	表名	c=1 d=1.42318e-34 t=42928
biao qian 	標籤	c=13 d=0.160881 t=42928
biao shi 	表示	c=16 d=1.13392e-08 t=42928
biao xian 	表現	c=1 d=2.37001e-34 t=42928
biao xian 	表顯	c=2 d=2.35819e-34 t=42928
biao zhi 	標識	c=1 d=1.16152e-85 t=42928
biao zhu 	標註	c=2 d=2.56295e-71 t=42928
biao zhun 	標準	c=6 d=2.38854e-08 t=42928
biao zhun hua 	標準化	c=2 d=4.90792e-10 t=42928
bie 	別	c=31 d=6.35541e-06 t=42928
bie de 	別的	c=2 d=3.20756e-06 t=42928
bie qu 	別去	c=1 d=4.43544e-25 t=42928
bie rang 	別讓	c=1 d=4.16494e-20 t=42928
bie ren 	別人	c=12 d=2.50296e-06 t=42928
bie wang 	別忘	c=0 d=3.84317e-75 t=42928
bie wang le 	別忘了	c=3 d=1.05539e-46 t=42928
bing 	並	c=10 d=1.80958e-07 t=42928
bing 	病	c=4 d=0.000799487 t=42928
bing bu 	並不	c=2 d=1.56421e-28 t=42928
bing bu hui 	並不會	c=1 d=4.17075e-07 t=42928
bing bu shi 	並不是	c=7 d=1.37235e-28 t=42928
bing fa 	併發	c=2 d=1.17871e-52 t=42928
bing mei you 	並沒有	c=8 d=9.7344e-05 t=42928
bing qie 	並且	c=2 d=5.85333e-53 t=42928
bing ren 	病人	c=1 d=3.02077e-06 t=42928
bing wei 	並未	c=1 d=1.72239e-73 t=42928
bo fang 	播放	c=0 d=5.17451e-45 t=42928
bo fang liang 	播放量	c=3 d=1.5894e-43 t=42928
bo ke 	博客	c=1 d=5.77994e-81 t=42928
bo shi 	博士	c=1 d=2.34084e-06 t=42928
bu 	不	c=48 d=0.432448 t=42928
bu 	補	c=2 d=4.96571e-06 t=42928
bu 	部	c=1 d=1.7394e-71 t=42928
bu bao han 	不包含	c=3 d=5.78228e-27 t=42928
bu bian 	不便	c=1 d=2.01334e-27 t=42928
bu bian 	不變	c=4 d=7.25159e-14 t=42928
bu can yu 	不參與	c=2 d=4.98634e-20 t=42928
bu chang yong zi 	不常用字	c=1 d=1.62435e-60 t=42928
bu cheng 	不成	c=0 d=9.95965e-72 t=42928
bu chi 	不遲	c=2 d=0.000106752 t=42928
bu chong 	補充	c=9 d=0.000216061 t=42928
bu chu 	不出	c=0 d=4.08581e-60 t=42928
bu chu lai 	不出來	c=0 d=0.1 t=40088
bu chuan 	不傳	c=6 d=3.96987e-15 t=42928
bu cun zai 	不存在	c=3 d=3.59335e-48 t=42928
bu cuo 	不錯	c=3 d=2.13973e-08 t=42928
bu da 	不大	c=10 d=4.03704e-07 t=42928
bu da 	不打	c=0 d=1.34885e-51 t=42928
bu da kai 	不打開	c=1 d=1.35561e-50 t=42928
bu dai 	不帶	c=4 d=4.15971e-64 t=42928
bu dao 	不到	c=2 d=0.00126207 t=42928
bu dei 	不得	c=3 d=5.88906e-07 t=42928
bu diao 	不掉	c=2 d=0.0524768 t=42928
bu diao 	不調	c=1 d=5.70377e-72 t=42928
bu ding 	補丁	c=1 d=1 t=39902
bu dong 	不動	c=0 d=1.6054e-70 t=42928
bu dong 	不懂	c=2 d=6.80682e-05 t=42928
bu dou 	布兜	c=1 d=1.34867e-19 t=42928
bu dui 	不對	c=22 d=3.54396e-15 t=42928
bu duo 	不多	c=6 d=1.66614e-06 t=42928
bu fang bian 	不方便	c=2 d=9.00938e-09 t=42928
bu fen 	部分	c=16 d=0.71177 t=42928
bu fu 	不服	c=0 d=8.31051e-60 t=42928
bu fu he 	不符合	c=4 d=4.98804e-24 t=42928
bu fu za 	不服咋	c=1 d=8.35216e-59 t=42928
bu fu ze 	不負責	c=1 d=1.12627e-46 t=42928
bu gai 	不該	c=1 d=3.11329e-08 t=42928
bu gan 	不敢	c=3 d=0.0437178 t=42928
bu gan he 	不敢喝	c=1 d=2.30043e-07 t=42928
bu gan shuo 	不敢說	c=1 d=1.62236e-75 t=42928
bu gao 	不高	c=3 d=2.26071e-08 t=42928
bu gei 	補給	c=1 d=9.91905e-23 t=42928
bu gen wo 	不跟我	c=1 d=4.17217e-11 t=42928
bu gou 	不夠	c=3 d=5.07394e-19 t=42928
bu gou yong 	不夠用	c=2 d=3.66169e-05 t=42928
bu guan 	不管	c=12 d=0.00118265 t=42928
bu guan xin 	不關心	c=4 d=2.7005e-11 t=42928
bu guan zhu 	不關注	c=1 d=2.26172e-72 t=42928
bu guang 	不光	c=2 d=4.74234e-18 t=42928
bu gui 	不貴	c=0 d=0.1 t=41973
bu gui fan 	不規範	c=1 d=1.44592e-44 t=42928
bu guo 	不過	c=32 d=0.185662 t=42928
bu guo guan 	不過關	c=1 d=2.56382e-47 t=42928
bu guo lai 	不過來	c=2 d=1.88889e-41 t=42928
bu hai pa 	不害怕	c=1 d=1.54575e-06 t=42928
bu hai shi 	不害事	c=1 d=3.88812e-05 t=42928
bu hao 	不好	c=7 d=2.37587e-13 t=42928
bu hao hun 	不好混	c=1 d=8.44212e-38 t=42928
bu hao kan 	不好看	c=1 d=1.28037e-84 t=42928
bu hao xie 	不好寫	c=1 d=5.16659e-26 t=42928
bu hao zhao 	不好找	c=1 d=1.64017e-27 t=42928
bu he 	不喝	c=0 d=8.8967e-09 t=42928
bu he jiu 	不喝酒	c=1 d=8.9413e-08 t=42928
bu he shi 	不合適	c=2 d=1.90165e-32 t=42928
bu huan 	不換	c=1 d=4.82566e-17 t=42928
bu hui 	不回	c=3 d=9.70188e-32 t=42928
bu hui 	不會	c=35 d=0.156459 t=42928
bu hui jia 	不會加	c=1 d=4.95693e-68 t=42928
bu ji 	不計	c=0 d=3.41577e-41 t=42928
bu ji de 	不記得	c=1 d=1.17507e-45 t=42928
bu ji ru 	不計入	c=1 d=3.43289e-40 t=42928
bu ji shi 	不及時	c=1 d=1.87456e-69 t=42928
bu jia 	不佳	c=0 d=0.1 t=41561
bu jia 	不加	c=2 d=1.29112e-06 t=42928
bu jian 	不見	c=2 d=6.61413e-19 t=42928
bu jian rong 	不兼容	c=4 d=0.00416933 t=42928
bu jiao 	不叫	c=1 d=1.88107e-51 t=42928
bu jiao 	補覺	c=1 d=6.61422e-79 t=42928
bu jie jue 	不解決	c=1 d=8.62468e-25 t=42928
bu jie shou 	不接收	c=1 d=1 t=41837
bu jin 	不進	c=0 d=1.06843e-15 t=42928
bu jiu 	不久	c=2 d=7.10514e-39 t=42928
bu jiu shi 	不就是	c=4 d=2.6787e-47 t=42928
bu ju 	佈局	c=1 d=1.87487e-71 t=42928
bu jue de 	不覺得	c=1 d=3.15305e-69 t=42928
bu ka 	不卡	c=0 d=0.0290835 t=42928
bu kai 	不開	c=0 d=2.46271e-15 t=42928
bu kai che 	不開車	c=1 d=1.27819e-64 t=42928
bu kai hui 	不開會	c=1 d=1.13019e-28 t=42928
bu kao lv 	不考慮	c=2 d=0.0109436 t=42928
bu kao pu 	不靠譜	c=4 d=1.03667e-08 t=42928
bu ke 	不可	c=7 d=3.24818e-08 t=42928
bu ke kong 	不可控	c=1 d=4.52167e-75 t=42928
bu ke neng 	不可能	c=6 d=0.00595263 t=42928
bu ke yi 	不可以	c=1 d=5.74133e-61 t=42928
bu ke yi fen 	不可一份	c=1 d=3.26446e-07 t=42928
bu ke yong 	不可用	c=1 d=3.94675e-34 t=42928
bu kuo rong 	不擴容	c=1 d=2.68657e-09 t=42928
bu lai 	不來	c=2 d=1.02759e-26 t=42928
bu li jie 	不理解	c=1 d=1.90451e-79 t=42928
bu li yu 	不利於	c=1 d=1.05834e-20 t=42928
bu liao 	不了	c=9 d=0.000323767 t=42928
bu liao jie 	不瞭解	c=2 d=0.00687406 t=42928
bu man zu 	不滿足	c=3 d=1.05905e-14 t=42928
bu men 	部門	c=13 d=0.016815 t=42928
bu ming bai 	不明白	c=1 d=1.61515e-52 t=42928
bu neng 	不能	c=46 d=0.820057 t=42928
bu neng yong 	不能用	c=1 d=3.32804e-28 t=42928
bu nong 	布農	c=1 d=1.84771e-17 t=42928
bu pei 	不配	c=1 d=7.32526e-45 t=42928
bu pei zhi 	不配置	c=1 d=7.35971e-12 t=42928
bu pi pei 	不匹配	c=5 d=3.90296e-19 t=42928
bu qi 	不起	c=1 d=1 t=39280
bu qi che 	不騎車	c=1 d=6.26026e-79 t=42928
bu qi lai 	不起來	c=0 d=0.1 t=41853
bu qi zuo yong 	不起作用	c=1 d=3.30043e-77 t=42928
bu qian 	不遷	c=1 d=2.69069e-27 t=42928
bu qing chu 	不清楚	c=3 d=4.21195e-06 t=42928
bu qu 	不去	c=0 d=1.8578e-82 t=42928
bu qu chong 	不去重	c=1 d=1.67792e-30 t=42928
bu qu fen 	不去分	c=1 d=1.86711e-81 t=42928
bu quan 	不全	c=1 d=9.96538e-19 t=42928
bu quan 	補全	c=9 d=0.295525 t=42928
bu que ding 	不確定	c=1 d=1.92813e-18 t=42928
bu ran 	不然	c=14 d=0.000628242 t=42928
bu ran wo hai 	不然我還	c=1 d=1 t=41915
bu rang 	不讓	c=5 d=3.58722e-19 t=42928
bu ren 	不認	c=1 d=1.15553e-83 t=42928
bu ren shi 	不認識	c=2 d=2.57536e-41 t=42928
bu ru 	不如	c=1 d=4.1692e-32 t=42928
bu ru liu 	不入流	c=1 d=1.81989e-15 t=42928
bu shan chu 	不刪除	c=1 d=0.00238156 t=42928
bu shang 	不上	c=5 d=2.2611e-11 t=42928
bu shang 	補上	c=1 d=0.00223168 t=42928
bu shang ban 	補上班	c=1 d=6.82444e-06 t=42928
bu shao 	不少	c=3 d=0.0870279 t=42928
bu she ji 	不涉及	c=2 d=0.00568457 t=42928
bu shen qing 	不申請	c=1 d=6.59602e-76 t=42928
bu sheng xiao 	不生效	c=2 d=5.75834e-37 t=42928
bu shi 	不是	c=126 d=0.53002 t=42928
bu shi fang 	不釋放	c=3 d=5.37542e-06 t=42928
bu shi hai 	不是還	c=1 d=1.55747e-36 t=42928
bu shu 	部署	c=19 d=4.46318e-08 t=42928
bu shu fu 	不舒服	c=1 d=4.12056e-41 t=42928
bu shui 	不睡	c=1 d=0.000120966 t=42928
bu shun li 	不順利	c=1 d=5.0895e-55 t=42928
bu shuo 	不說	c=1 d=1.19279e-74 t=42928
bu song 	不送	c=1 d=7.98872e-65 t=42928
bu tai 	不太	c=13 d=0.0253497 t=42928
bu tai dong 	不太懂	c=1 d=2.01478e-06 t=42928
bu tai dui 	不太對	c=2 d=4.6958e-49 t=42928
bu tai fu za 	不太複雜	c=1 d=5.46615e-42 t=42928
bu tai gao 	不太搞	c=1 d=3.65336e-37 t=42928
bu tai guan xin 	不太關心	c=1 d=8.55895e-82 t=42928
bu tai hao 	不太好	c=2 d=2.7206e-11 t=42928
bu tai hao shuo 	不太好說	c=1 d=2.73423e-10 t=42928
bu tai hao yong 	不太好用	c=1 d=1.3969e-50 t=42928
bu tai liang 	不太亮	c=1 d=1.57849e-76 t=42928
bu tai qing chu 	不太清楚	c=2 d=4.53275e-45 t=42928
bu tai yi yang 	不太一樣	c=2 d=1.39329e-49 t=42928
bu ti gong 	不提供	c=2 d=3.36981e-69 t=42928
bu tong 	不同	c=14 d=2.16646e-07 t=42928
bu tong 	不通	c=1 d=3.65221e-27 t=42928
bu tong bu 	不同步	c=3 d=5.88066e-49 t=42928
bu tong bu yang 	不痛不癢	c=1 d=4.15065e-09 t=42928
bu tong yi 	不統一	c=1 d=1.81039e-71 t=42928
bu tui 	不推	c=2 d=3.88006e-10 t=42928
bu tui 	補推	c=1 d=1 t=41739
bu wan 	不玩	c=0 d=3.09362e-37 t=42928
bu wan zheng 	不完整	c=1 d=6.17481e-35 t=42928
bu wang 	不往	c=1 d=5.2164e-80 t=42928
bu wen 	不問	c=1 d=0.0031354 t=42928
bu wen 	不穩	c=1 d=6.19797e-79 t=42928
bu wen ding 	不穩定	c=1 d=1 t=42876
bu xi guan 	不習慣	c=0 d=2.82663e-49 t=42928
bu xi huan 	不喜歡	c=1 d=0.000116806 t=42928
bu xi wang 	不希望	c=1 d=7.66634e-51 t=42928
bu xia 	不下	c=0 d=8.23062e-64 t=42928
bu xian shi 	不顯示	c=2 d=0.0239928 t=42928
bu xiang 	不像	c=6 d=2.00086e-05 t=42928
bu xiang 	不想	c=1 d=4.11412e-52 t=42928
bu xiang 	不香	c=3 d=9.80699e-07 t=42928
bu xiang jie 	不想借	c=1 d=1.26983e-75 t=42928
bu xie 	不屑	c=2 d=1.949e-77 t=42928
bu xin 	不信	c=2 d=3.92039e-14 t=42928
bu xing 	不行	c=14 d=0.0177212 t=42928
bu xu 	不需	c=5 d=2.80679e-25 t=42928
bu xu cun 	不需村	c=1 d=2.82086e-24 t=42928
bu xu yao 	不需要	c=24 d=0.524663 t=42928
bu xuan 	不選	c=8 d=3.90068e-07 t=42928
bu yao 	不要	c=17 d=0.00778933 t=42928
bu yao qiu 	不要求	c=1 d=1 t=41955
bu ye 	不也	c=0 d=2.83944e-14 t=42928
bu ye hui 	不也會	c=1 d=2.85367e-13 t=42928
bu yi ding 	不一定	c=4 d=0.00711891 t=42928
bu yi yang 	不一樣	c=15 d=5.90631e-12 t=42928
bu yi zhi 	不一致	c=3 d=1.25946e-08 t=42928
bu yin ru 	不引入	c=1 d=2.52479e-43 t=42928
bu ying gai 	不應該	c=11 d=1.32101e-11 t=42928
bu ying xiang 	不影響	c=3 d=1.39742e-25 t=42928
bu yong 	不用	c=43 d=0.204794 t=42928
bu yuan yi 	不願意	c=2 d=2.08109e-34 t=42928
bu zai 	不再	c=18 d=0.0177745 t=42928
bu zai 	不在	c=1 d=3.85324e-46 t=42928
bu zai hu 	不在乎	c=1 d=6.45222e-52 t=42928
bu zai shen he 	不再審覈	c=1 d=3.34109e-74 t=42928
bu zen me 	不怎麼	c=1 d=2.56748e-05 t=42928
bu zen me hao 	不怎麼好	c=1 d=1.80633e-74 t=42928
bu zen me he 	不怎麼喝	c=1 d=1.53716e-58 t=42928
bu zhan shi 	不展示	c=1 d=1.82045e-48 t=42928
bu zhao ji 	不着急	c=3 d=5.34698e-18 t=42928
bu zheng 	不整	c=0 d=6.85237e-55 t=42928
bu zheng le 	不整了	c=1 d=6.88672e-54 t=42928
bu zhi 	不止	c=1 d=3.14555e-41 t=42928
bu zhi 	不治	c=1 d=3.60718e-05 t=42928
bu zhi chi 	不支持	c=7 d=0.136303 t=42928
bu zhi dao 	不知道	c=62 d=0.226214 t=42928
bu zhi dao wei sha 	不知道爲啥	c=1 d=1 t=41035
bu zhi ding 	不指定	c=1 d=6.89655e-12 t=42928
bu zhi yu 	不至於	c=1 d=1 t=40066
bu zhi yu ci 	不止於此	c=1 d=8.40833e-79 t=42928
bu zhong yao 	不重要	c=2 d=5.52935e-80 t=42928
bu zhou 	步驟	c=5 d=8.42204e-13 t=42928
bu zhua 	不抓	c=1 d=9.70776e-05 t=42928
bu zhun 	不準	c=1 d=8.8792e-73 t=42928
bu zhun bei 	不準備	c=1 d=1.52316e-68 t=42928
bu zou 	步驟	c=1 d=2.22812e-43 t=42928
bu zu 	不足	c=1 d=1.0286e-67 t=42928
bu zu yi 	不足以	c=1 d=6.63876e-05 t=42928
bu zuo 	不做	c=3 d=2.68145e-37 t=42928
bu zuo 	不坐	c=1 d=2.1287e-06 t=42928
cai 	才	c=22 d=0.00113757 t=42928
cai 	猜	c=0 d=1.34381e-07 t=42928
cai 	踩	c=1 d=8.31758e-69 t=42928
cai dan 	菜單	c=1 d=1.97409e-60 t=42928
cai dui 	纔對	c=1 d=2.59947e-33 t=42928
cai e 	蔡鍔	c=1 d=1.26289e-40 t=42928
cai hui 	纔會	c=4 d=6.79183e-23 t=42928
cai lao 	才老	c=1 d=1.47237e-22 t=42928
cai liao 	材料	c=1 d=1.47975e-22 t=42928
cai neng 	才能	c=8 d=0.000147757 t=42928
cai shi 	纔是	c=2 d=6.29635e-57 t=42928
cai shi chang 	菜市場	c=1 d=4.34761e-25 t=42928
cai suan 	纔算	c=1 d=2.09373e-17 t=42928
cai xu kun 	蔡徐坤	c=8 d=1.1979e-50 t=42928
cai you men 	踩油門	c=0 d=4.07318e-53 t=42928
can jia 	參加	c=1 d=2.59329e-05 t=42928
can kao 	參考	c=15 d=0.000171687 t=42928
can shu 	參數	c=8 d=1.69422e-25 t=42928
can yu 	參與	c=3 d=0.000103597 t=42928
cang cu 	倉促	c=1 d=3.60461e-26 t=42928
cang ku 	倉庫	c=1 d=5.27831e-13 t=42928
cao zuo 	操作	c=44 d=0.77071 t=42928
cao zuo xi tong 	操作系統	c=1 d=2.99561e-84 t=42928
ce 	側	c=1 d=1.89313e-38 t=42928
ce 	測	c=19 d=3.10655e-07 t=42928
ce guo le ba 	測過了吧	c=1 d=1 t=40015
ce lu cheng 	測路程	c=1 d=1 t=39345
ce lve 	策略	c=380 d=4.19743 t=42928
ce lve gong gao 	策略公告	c=1 d=5.72962e-37 t=42928
ce lve xing 	策略性	c=1 d=3.7627e-31 t=42928
ce lve you 	策略有	c=1 d=1 t=42359
ce shi 	測試	c=114 d=2.27157 t=42928
ce shi ci 	測試詞	c=1 d=3.4541e-83 t=42928
ce shi de 	測試的	c=1 d=2.85902e-35 t=42928
ce shi le 	測試了	c=1 d=4.69406e-74 t=42928
ce shi qi 	測試器	c=1 d=0.128735 t=42928
